mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
36095,2113.3709831237793,1270,263.0379853248596,0.0,1270,0,0,0,
36096,3586.155990600586,1270,167.42599844932556,0.0,1270,0,0,0,
36097,3135.434000015259,1270,152.05400204658508,0.0,1270,0,0,0,
36098,3514.4469985961914,1270,166.93199563026428,0.0,1270,0,0,0,
36099,5375.18501663208,1270,657.9850015640259,0.0,1270,0,0,0,
36100,5951.309027325362,1270,268.25799841980916,0.0,1270,0,0,0,
36101,4756.946990966797,1270,340.6480007171631,0.0,1270,0,0,0,
36102,6525.505039215088,1270,361.91399908065796,242.11099857091904,1270,60,123,8,45.75
36103,6012.17106628418,1270,370.2489986419678,0.0,1270,0,0,0,
36104,11397.342124938965,1270,618.5959982872009,0.0,1270,0,0,0,
36105,11187.150985717773,1270,1004.6920108795166,0.0,1270,0,0,0,
36106,3629.1510009765625,1270,306.6140022277832,0.0,1270,0,0,0,
36107,535.3010158538818,1270,60.16600388288498,0.0,1270,0,0,0,
36108,58733.58892059326,1270,7655.7010316848755,0.0,1270,0,0,0,
36109,60819.817138671875,1270,29629.32894706726,721.0110197067261,1270,218,92,52,43.5
36110,14218.656967163086,1270,916.5740008354187,0.0,1270,0,0,0,
36111,9912.64404296875,1270,1290.031000137329,0.0,1270,0,0,0,
36112,9062.74600982666,1270,1153.826997756958,0.0,1270,0,0,0,
36113,7096.870979309082,1270,801.8059988021851,0.0,1270,0,0,0,
36114,18505.182022094727,1270,3763.615001678467,0.0,1270,0,0,0,
36115,6056.197067260742,1270,922.9969944953918,0.0,1270,0,0,0,
36116,12151.693008422852,1270,1035.2510089874268,0.0,1270,0,0,0,
36117,11896.171905517578,1270,1275.445993423462,0.0,1270,0,0,0,
36118,0.0,1270,0.0,0.0,1270,0,0,0,
36119,47726.87976074219,1270,12492.05795288086,0.0,1270,0,0,0,
36120,17164.198013305664,1270,1215.7890057563782,0.0,1270,0,0,0,
36121,4932.820999145508,1239,407.945997338742,0.0,1239,0,0,0,
36122,954.9360294342041,1239,2.1240000310353935,0.0,1239,0,0,0,
36123,4829.895035028458,1270,353.94600081723183,0.0,1270,0,0,0,
36124,0.13600000413134694,1239,0.0,35015.31004333496,1239,1213,123,123,49.0
36125,23574.804946899414,1270,1575.2029854655266,0.0,1270,0,0,0,
36126,18159.906036376953,1270,1302.2290019989014,0.0,1270,0,0,0,
36127,131952.60224318504,1270,16753.81693866849,0.0,1270,0,0,0,
36128,13037.070903778076,1270,1653.2629919052124,0.0,1270,0,0,0,
36129,8901.269018173218,1270,2280.3439869880676,0.0,1270,0,0,0,
36130,32477.700103759766,1270,3386.0539894104004,0.0,1270,0,0,0,
