mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
152921,False,False,30.85100120306015,8144.881021499634,0,52.0
152985,False,True,6013.773796081543,7232.902141571045,91,48.0
154403,False,False,0.0,0.0,0,
155108,False,False,0.0,1011.6740054488182,0,
155449,False,False,0.0,73.68800044059753,0,
155450,False,False,0.0,9831.661926269531,0,
157297,False,False,5.024999767541885,1231.493995666504,0,65.0
158156,False,False,0.0,6249.43701171875,0,
158157,False,False,0.0,14712.52719116211,0,
158158,False,False,0.0,6.295999974012375,0,
158159,False,False,0.0,3991.585983276367,0,
1634,False,False,0.0,2212.456024169922,0,
1691,False,False,0.0,0.0,0,
17813,False,True,4186.942993164063,199.69499969482425,87,41.0
1795,False,False,0.0,42878.78396606445,0,
17993,False,False,2061.917007446289,472.1539974212647,35,45.0
18053,False,False,0.0,0.0,0,
18353,False,True,21986.984802246094,26286.185165405277,123,50.0
18433,False,False,0.0,282.1169967651367,0,
18473,False,False,0.0,53458.86901855469,0,
18474,False,False,0.0,11447.733001708984,0,
18494,False,False,0.0,18160.608976364136,0,
18495,False,False,0.0,10043.800102233889,0,
18497,False,False,0.0,15471.817016601562,0,
18498,False,False,0.0,11994.231964111328,0,
18499,False,False,0.0,12153.335998535156,0,
18500,False,False,0.0,17322.308135986328,0,
18501,False,False,0.0,21207.67593383789,0,
18502,False,False,0.0,12827.922012329102,0,
18503,False,False,0.0,33241.98211669922,0,
18504,False,False,0.0,24522.584106445312,0,
18505,False,False,0.0,19143.674041748047,0,
18506,False,False,0.0,15312.79296875,0,
18507,False,False,0.0,11532.36492919922,0,
18508,False,False,0.0,23078.767852783203,0,
18509,False,False,0.0,23091.769989013672,0,
18510,False,False,0.0,28520.345825195312,0,
18523,False,True,15696.80481863022,3390.635992050171,121,52.5
18583,False,False,0.0,4729.393898010254,0,
18604,False,False,0.0,16155.777095794678,0,
18623,False,False,0.0,17034.88803100586,0,
18624,False,False,0.0,47216.67514038086,0,
18625,False,False,0.0,58841.23461914063,0,
18626,False,False,0.0,31704.92218017578,0,
18628,False,False,0.0,26508.570892333984,0,
18629,False,False,0.0,168817.07543945312,0,
18630,False,False,0.0,47427.087814331055,0,
18631,False,False,0.0,53449.78985595703,0,
18632,False,False,0.0,270.52202129364014,0,
18634,False,False,0.0,59685.11401367188,0,
18635,False,False,0.0,36798.49765014648,0,
18636,False,False,0.0,6822.478000640869,0,
18637,False,False,0.0,16782.27507019043,0,
18638,False,False,0.003000000026077,1017.3860092163086,0,53.0
18639,False,False,0.0,6336.446044921875,0,
18640,False,False,0.0,3218.6969742774963,0,
18641,False,False,0.0,5348.622041702271,0,
18642,False,False,0.0,6412.205059051514,0,
18643,False,False,0.0,16601.82391357422,0,
18644,False,False,0.0,26599.723022460938,0,
18645,False,False,0.0,2810.106002807617,0,
18646,False,False,0.0,2975.9630279541016,0,
18647,False,False,0.0,0.0,0,
18648,False,False,0.0,1518.689001083374,0,
18649,False,False,0.0,24253.42901611328,0,
18650,False,False,0.0,22492.580154418945,0,
18651,False,False,0.0,30570.06616210937,0,
18652,False,False,0.0,10672.164108276367,0,
18653,False,False,0.0,10724.554962158203,0,
